vector,geo,dguid,gender,age_group,indicators,coordinate,value
v1792535254,Canada (excluding territories),"",Women+,"Total, 18 years and over",Perceived mental health - Very good or excellent,1.3.1.4.4,50.7
v1792535261,Canada (excluding territories),"",Women+,"Total, 18 years and over",Perceived mental health - Fair or poor,1.3.1.5.4,16.3
v1792535268,Canada (excluding territories),"",Women+,"Total, 18 years and over",Has a regular health care provider,1.3.1.6.4,84.6
v1792535275,Canada (excluding territories),"",Women+,"Total, 18 years and over",Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.3.1.7.4,80.8
v1792535282,Canada (excluding territories),"",Women+,"Total, 18 years and over",Quality of consultation in the past 12 months - Very good or excellent,1.3.1.8.4,70.4
v1792535289,Canada (excluding territories),"",Women+,"Total, 18 years and over",Quality of consultation in the past 12 months - Fair or poor,1.3.1.9.4,10.7
v1792535296,Canada (excluding territories),"",Women+,"Total, 18 years and over",Experienced difficulties getting non-urgent primary health care in the past 12 months,1.3.1.10.4,42.7
v1792535303,Canada (excluding territories),"",Women+,"Total, 18 years and over",Consulted a medical specialist for an initial consultation in the past 12 months,1.3.1.11.4,36.4
v1792535310,Canada (excluding territories),"",Women+,"Total, 18 years and over",Experienced difficulties getting specialist care in the past 12 months,1.3.1.12.4,32.5
v1792535317,Canada (excluding territories),"",Women+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Very good or excellent,1.3.1.13.4,52.3
v1792535324,Canada (excluding territories),"",Women+,"Total, 18 years and over",Level of coordination between health care providers in the past 12 months - Fair or poor,1.3.1.14.4,22.6
v1792535331,Canada (excluding territories),"",Women+,"Total, 18 years and over",Experienced discrimination in a health care setting in the past 12 months,1.3.1.15.4,9.6
v1792535338,Canada (excluding territories),"",Women+,"Total, 18 years and over",Had unmet health care needs in the past 12 months,1.3.1.16.4,24.8
v1792535345,Canada (excluding territories),"",Women+,"Total, 18 years and over","Delayed or did not fill a prescription, or reduced or skipped doses of medication because of the cost in the past 12 months",1.3.1.17.4,14.1
v1792535352,Canada (excluding territories),"",Women+,"Total, 18 years and over",Has insurance that covers all or part of the cost of prescription medications,1.3.1.18.4,78.5
v1792535359,Canada (excluding territories),"",Women+,18 to 44 years,Has at least one chronic condition,1.3.2.1.4,39.5
v1792535366,Canada (excluding territories),"",Women+,18 to 44 years,Perceived health - Very good or excellent,1.3.2.2.4,57.6
v1792535373,Canada (excluding territories),"",Women+,18 to 44 years,Perceived health - Fair or poor,1.3.2.3.4,10.4
v1792535380,Canada (excluding territories),"",Women+,18 to 44 years,Perceived mental health - Very good or excellent,1.3.2.4.4,42.7
v1792535387,Canada (excluding territories),"",Women+,18 to 44 years,Perceived mental health - Fair or poor,1.3.2.5.4,22.2
v1792535394,Canada (excluding territories),"",Women+,18 to 44 years,Has a regular health care provider,1.3.2.6.4,80.4
v1792535401,Canada (excluding territories),"",Women+,18 to 44 years,Consulted a health care provider for a non-urgent primary health care need in the past 12 months,1.3.2.7.4,78.6
v1792535408,Canada (excluding territories),"",Women+,18 to 44 years,Quality of consultation in the past 12 months - Very good or excellent,1.3.2.8.4,65.8
v1792535415,Canada (excluding territories),"",Women+,18 to 44 years,Quality of consultation in the past 12 months - Fair or poor,1.3.2.9.4,14.1
v1792535422,Canada (excluding territories),"",Women+,18 to 44 years,Experienced difficulties getting non-urgent primary health care in the past 12 months,1.3.2.10.4,51.1
v1792535429,Canada (excluding territories),"",Women+,18 to 44 years,Consulted a medical specialist for an initial consultation in the past 12 months,1.3.2.11.4,33.2
v1792535436,Canada (excluding territories),"",Women+,18 to 44 years,Experienced difficulties getting specialist care in the past 12 months,1.3.2.12.4,36.3
v1792535443,Canada (excluding territories),"",Women+,18 to 44 years,Level of coordination between health care providers in the past 12 months - Very good or excellent,1.3.2.13.4,44.5
